"ID","How to find","Grid","Name","Neighbourhood","People","Area type","Size (m2)","Size other (m2)","Description","Part of JOMO?","Worth adding?","Category","DONE","How to find","","","","","",""
"974","Swamp, grid square S17","S17","Tree of light ","Swamp","0","art","2","0","It a interactive tree lighted by beautiful leds","","1","🎨 Art/Installation","","Swamp, grid square S17","","","","","",""
"979","Arctic chill, grid square P06","P06","4m fire safety distance / path to Treeline dreams","Arctic chill","0","other","80","79","This distance is necesary and its part of acces to a dream by the forest","","","","","","","","","","",""
"981","Eastern Slope, grid square U21","U21","Morning Paste Society ","Eastern Slope","7","public-offering","165","30","Cosy little camp of friends offering toothpaste testing mornings (at 11 each day). Will also be making suncatchers and crepes for wandering souls needing a rest. ","","1","🎀 Crafting/Pimping/Arting","","Eastern Slope, grid square U21","","","","","",""
"982","Swamp, grid square T18","T18","Antra.world","Swamp","12","public-offering","450","50","✨ Cuddles & Jazz ✨ 

The Antra.world camp is back to bring a cozy cuddlespace and soothing, smooth Jazz concerts for all the beautiful borderlings to come and relax, hang out, cuddle and land. 

The camp members will also have their tents here as their dedicated sleeping area. ","","1","🫖 Care/Support/Pampering","","Swamp, grid square T18","","","","","",""
"983","Swamp, grid square R17","R17","The Fuckery Camping","Swamp","25","normal-camp","334","25","Tents and staff tent/lounge","","","","","","","","","","",""
"984","Swamp, grid square V16","V16","The camp without any specific purpouse other than creating a cozy and including vibe.","Swamp","17","normal-camp","370","80","There will be tea, drinks and acoustic jamming! Also a sioux style teepee for rainy days and cold nights. All of it under a warm blanket of cozy inclusiveness.","","","","","","","","","","",""
"986",", grid square P19","P19","","","0","normal-camp","350","0","","","","","","","","","","","",""
"987",", grid square V14","V14","The Ghost train","","12","art","389","100","It's Pac-Man/Spank-Man
chased by two Ghosts.
This will a complete stage with beautiful lights and super tunes to Dance all night long!","","1","🎲 Games/Play","",", grid square V14","","","","","",""
"989","Bison - South, grid square M23","M23","Radical Faeries Hot Waffles","Bison - South","3","normal-camp","44","6","Radical Faerie camp that daily offers fresh waffles","","","","","","","","","","",""
"997",", grid square K13","K13","","","0","","2","0","","","","","","","","","","","",""
"999","Swamp, grid square P18","P18","Tveksam magi","Swamp","4","normal-camp","128","20","This is the resting place for everyone that was late to the party. ","","","","","","","","","","",""
"1002","Bison - South, grid square N23","N23","Legendary Pokémons","Bison - South","7","normal-camp","176","90","Freecampers, magic, tarot","","","","","","","","","","",""
"1008","Swamp, grid square U19","U19","ÄvenTyra","Swamp","3","normal-camp","62","0","A small happy family camp :)","","","","","","","","","","",""
"1011","Bison - North, grid square O19","O19","Lost Cocks Resort","Bison - North","6","sound-camp","90","30","We are lost - soon more info ","1011","","","","","","","","","",""
"1014","Lowlands, grid square S09","S09","Dutch Vintage real","Lowlands","13","normal-camp","667","0","collection of old RV;s","","","","","","","","","","",""
"1015","Sunny Hills, grid square G20","G20","Body Art","Sunny Hills","8","public-offering","218","160","Camp offering body paint - Camp area is large, because of the un-even slope of the hill

5m perimeter : Bunny Horse : Could you please shrink your area, although we love the drawing &lt;3","1015","1","","","","","","","","",""
"1016","Arctic chill, grid square N03","N03","Frog throuple","Arctic chill","3","normal-camp","15","0","we're a freecamping throuple who are also frogs &lt;3","","","","","","","","","","",""
"1017","Arctic chill, grid square L07","L07","Fluffcamp","Arctic chill","3","normal-camp","52","0","A small, soft corner of the burn, where strangers get hugs, hearts are welcome, and nobody has to be anything other than exactly who they are","","","","","","","","","","",""
"1018","Far Flung Field, grid square X11","X11","zzz","Far Flung Field","1","other","20","0","","","","","","","","","","","",""
"1024","Arctic chill, grid square P07","P07","♥️ THE HEARTSPACE ♥️","Arctic chill","6","public-offering","101","64","Disconnected and lost in the magic? We welcome you to THE HEARTSPACE – a red portal for souls longing to soften and return         https://dreams.theborderland.se/borderland/dreams-2026/cmnurj1tt007d9xj9mgu4207q?s=the","1024","1","","","","","","","","",""
"1029","Arctic chill, grid square L04","L04","connection camp","Arctic chill","3","normal-camp","36","0","","","","","","","","","","","",""
"1032","Highlands, grid square L10","L10","Keepers of Le Observable Universe","Highlands","20","normal-camp","428","200","Where the Keepers sleep and bring you two public offerings:
- the Supernova Sandwhich Station (check out the JOMO Guide when the time comes :D)
- Le Observable Universe. What does that mean? Come and find out.","1032","1","","","","","","","","",""
"1035","Eastern Slope, grid square T21","T21","The Psycamp Crew Area","Eastern Slope","15","normal-camp","291","0","We are here to make the best dancefloor yet to be experienced, we need a place we can rest peacefully","","","","","","","","","","",""
"1036","Bison - South, grid square O24","O24","The Tandoori chefs","Bison - South","5","normal-camp","60","0","A group of like minded people enjoying good food, will have tandoori chicken on sunny days.

And a cozy, absolutely not shady van, to chill in ","","","","","","","","","","",""
"1038","Sunny Hills, grid square G19","G19","Jelly Stable","Sunny Hills","4","public-offering","78","10","A noble makers spot for mega creatures and lost creators. Mega Mårran is brought to life from fabric, helium and a touch of Newton. True chemistry, pure physics, real magic. At dawn, sun-phobic Jelly finds shelter in the Jelly stable. Stick for corny pop, salt sprinkles, watermelon and mellow minds.","","1","🎲 Games/Play","","Sunny Hills, grid square G19","","","","","",""
"1039","Arctic chill, grid square N07","N07","🦬 Boys BBQing Bison 🦬","Arctic chill","5","normal-camp","112","20","Food/Camping area","","","","","","","","","","",""
"1043","Arctic chill, grid square O08","O08","CBB","Arctic chill","12","normal-camp","351","0","","","","","","","","","","","",""
"1050","Arctic chill, grid square M05","M05","Mirage (Art+Camp)","Arctic chill","2","normal-camp","25","5","Art installation and camp for two.","","","","","","","","","","",""
"1052","Downtown, grid square M19","M19","Plutonia","Downtown","20","sound-camp","488","0","Plutonia is the hardest dancefloor on Borderland.","1052","1","","","","","","","","",""
"1054","Swamp, grid square U18","U18","Dutch V","Swamp","7","normal-camp","611","0","~RV CAmp","","","","","","","","","","",""
"1056","Highlands, grid square M10","M10","40ish thives Camping","Highlands","10","normal-camp","319","0","","","","","","","","","","","",""
"1057","Arctic chill, grid square O08","O08","Tiny Hands Spa","Arctic chill","14","normal-camp","493","40","7 kiddos and their worshippers.","","","","","","","","","","",""
"1061","Far Flung Field, grid square Z10","Z10","Freecamping ","Far Flung Field","2","normal-camp","16","0","a couple of Freecampers","","","","","","","","","","",""
"1062","Eastern Slope, grid square V20","V20","Leftovers","Eastern Slope","8","normal-camp","450","30","Free campers","","","","","","","","","","",""
"1063","Lowlands, grid square R11","R11","Institut of Insanity Camping","Lowlands","12","normal-camp","361","20","camping for the Institute of Insanity. ","","","","","","","","","","",""
"1064","Arctic chill, grid square M06","M06","Do's & Don'ts sleeping camp","Arctic chill","13","normal-camp","426","50","Sleeping area for do's & donts.","","","","","","","","","","",""
"1065","Bison - South, grid square M22","M22","Astral veil","Bison - South","10","art","352","150","","","","","","","","","","","",""
"1068","Arctic chill, grid square P08","P08","💩💩💩💩💩","Arctic chill","0","public-offering","61","61","💩","","","","","","","","","","",""
"1069","Arctic chill, grid square M05","M05","Camp Ask","Arctic chill","2","normal-camp","38","18","A chill place for a chill discussion, and sleeping of course. No noise.","","","","","","","","","","",""
"1072",", grid square U09","U09","ALL BY MYSELF","","0","","2723","0","","","","","","","","","","","",""
"1076","Forest Cave, grid square L22","L22","Electric dissagreement area","Forest Cave","8","public-offering","74","0","Here, we´ll set up our electrical disagreement table, where you could (slightly) electrocute your friend if he/she/them talkes bullshit","1076","1","","","","","","","","",""
"1085","Sunny Hills, grid square I22","I22","Rocky","Sunny Hills","2","art","2","0","Amaze amaze amaze!","","1","","","Sunny Hills, grid square I22","","","","","",""
"1087","Arctic chill, grid square L06","L06","Bunnies & Friends","Arctic chill","12","normal-camp","236","10","Bunch of curious souls camping together. Expect bunny ears, a fair bit of LED, and a lot of non-sense. ","","","","","","","","","","",""
"1088","Pretty Parking, grid square L04","L04","Threshold container","Pretty Parking","0","other","15","0","Container for threshold","","","","","","","","","","",""
"1090","Bison - South, grid square O23","O23","Socialen Camping","Bison - South","7","normal-camp","189","117","Kitchen tent + fire safety meters (32 m2) and sleeping tents for 7 people.
Power info is for both public offering + camp kitchen. Kitchentools used for public offerings.","","","","","","","","","","",""
"1091","Swamp, grid square P18","P18","Institute of magic, play, bioglitter and love2","Swamp","7","","29","0","","","","","","","","","","","",""
"1092","Far Flung Field, grid square Y07","Y07","Vannys Sanctuary","Far Flung Field","5","normal-camp","24","0","Will sleep here and look at the stars, talk to aliens, and stuff.","","","","","","","","","","",""
"1093","Forest Cave, grid square K23","K23","Temple of man-får-ändra-sig","Forest Cave","0","other","122","0","The burnt down mansion is now the permanent temple of Alversjö. Open for ceremonies, parties, art exhibitions and take-overs","","","","","","","","","","",""
"1095","Sunny Hills, grid square G20","G20","Camp Procrastination","Sunny Hills","4","normal-camp","64","20","What’s going on at our camp? How about a course in procrastination? It might be starting any minute now. But in the meantime, why not find something else to do while you wait…?","","","","","","","","","","",""
"1098","Bison - South, grid square M23","M23","!! MUDDY BIT !!","Bison - South","0","other","437","0","!! This bit can get really muddy !!","","","","","","","","","","",""
"1099","Bison - South, grid square N22","N22","Rocks and ditch","Bison - South","0","other","32","0","This is a unpassable area with a ditch some rocks, holes n'shit.","","","","","","","","","","",""
"1103","Arctic chill, grid square O07","O07","Chill dudes","Arctic chill","3","normal-camp","107","0","We’re three guys who love nature, music, swimming, peaceful vibes and just enjoying life. At Borderland we’re looking forward to experiencing the magic, meeting beautiful people, relaxing, dancing, bathing and simply having a really good time together ✨","","","","","","","","","","",""
"1104","Arctic chill, grid square O04","O04","Men of chill","Arctic chill","4","normal-camp","70","0","We love nature, chill, music. Playful and peaceful vibes","","","","","","","","","","",""
"1105","Arctic chill, grid square N04","N04","The Wild Forest Temple","Arctic chill","10","normal-camp","124","0","","","","","","","","","","","",""
"1109","Lowlands, grid square T13","T13","SunCamp","Lowlands","2","normal-camp","112","20","A camp full of happy people that love music and new connections. 
RV and social area.","","","","","","","","","","",""
"1110","Bison - North, grid square N21","N21","Astral veil camping","Bison - North","0","normal-camp","66","0","","","","","","","","","","","",""
"1111","Swamp, grid square S19","S19","Camp Pappis","Swamp","8","normal-camp","365","100","","","","","","","","","","","",""
"1112","Forest Cave, grid square K24","K24","Milkyway Movie Temple","Forest Cave","16","normal-camp","416","100","Milkyway Movie Temple camp and Dream","","","","","","","","","","",""
"1117","Far Flung Field, grid square Y10","Y10","sleep well","Far Flung Field","2","normal-camp","25","5","To sleep in the shade in the early mornings so we are well rested during the day","","","","","","","","","","",""
"1118","Far Flung Field, grid square Y10","Y10","WeWannaSleeeeep","Far Flung Field","2","other","24","0","2 free campers! &lt;3
Write an email if there's anything you're wondering here!","","","","","","","","","","",""
"1119","Lowlands, grid square S12","S12","Dimensions","Lowlands","3","normal-camp","124","20","Funny and Crazy. with more psy for the world. New connections and fun experiance

RV and party tents ","","","","","","","","","","",""
"1120","Arctic chill, grid square L04","L04","Camp Dreamers","Arctic chill","20","normal-camp","643","80","A camp of dreamers, visionaries and artists all fostering our own individual projects. Supporting each other in the burn experience!","","","","","","","","","","",""
"1121","Wedge, grid square Q20","Q20","club sin camping","Wedge","55","normal-camp","1166","100","Club sin's camping space taking caring of our public offering in north bison.","","","","","","","","","","",""
"1123","Lowlands, grid square T11","T11","Handy Hands","Lowlands","2","normal-camp","40","0","Two hyperactive artists  will serve you tea (or something stronger) as they hapilly help with your DIY needs, your art projects, fixing something broken, or just a comfortable kind warm conversation.","","","","","","","","","","",""
"1124","Eastern Slope, grid square W17","W17","Casa Amor","Eastern Slope","13","normal-camp","346","6","A camp who believe deeply in openness, softness, connection, and community. At the heart of our camp is a shared tipi — a home where the door is always open

Offering a (moving) throne of appreciation, with care, and nurturing for tired hippies, around Borderland.","","1","🫖 Care/Support/Pampering","","Eastern Slope, grid square W17","","","","","",""
"1126","Highlands, grid square P10","P10","Camp Bee","Highlands","3","normal-camp","114","100","A bee positive camp with a tepee tent including ""The Cosmic Light Treatment"" aka CLT a dream from 2024. ","","","","","","","","","","",""
"1128","Sunny Hills, grid square H21","H21","Do's & Don'ts Revisited","Sunny Hills","13","sound-camp","241","50","","","","","","","","","","","",""
"1130","Arctic chill, grid square M06","M06","Gingerhood","Arctic chill","7","normal-camp","288","15","Camp with 3 campervans and shared kitchen and chill out tents. Base for Wellness of figging.","","","","","","","","","","",""
"1131","Far Flung Field, grid square X11","X11","ZzS ","Far Flung Field","1","other","12","0","For sleep","","","","","","","","","","",""
"1134","Bison - South, grid square P24","P24","N E C T A R HIGHTS - Blessing van camp","Bison - South","6","normal-camp","60","15","⁠A cozy and quiet communal living space for 3 campervans and friends. We are focusing on a leave-no-trace, self-sufficient camping experience while contributing good vibes to the neighborhood.⁠","","","","","","","","","","",""
"1142","Arctic chill, grid square L06","L06","Camp Name Loading...","Arctic chill","5","normal-camp","69","0","Camp name still to be determined -- we're 5 veteran burners (3 repeat borderland attendees, 2 virgins) in a small camp. Intention is to offer one or more interactive art piece/games, though it may float around borderland throughout the week. ","","","","","","","","","","",""
"1145","Forest Cave, grid square K21","K21","Forest Cave river","Forest Cave","0","normal-camp","127","0","This is a ditch/small river, about 1 meter wide. Placment is aproximate. ","","","","","","","","","","",""
"1149","Eastern Slope, grid square W18","W18","The Rabbit Hole","Eastern Slope","25","normal-camp","483","300","Chill Vibe CAmp 

Waterpibe Hangout ","","","","","","","","","","",""
"1151","Arctic chill, grid square P07","P07","Rich Life","Arctic chill","10","normal-camp","124","20","A group of friends with chill, cute, cozy vibe","","","","","","","","","","",""
"1152","Eastern Slope, grid square V18","V18","Temple of Sound 🏛️","Eastern Slope","12","public-offering","74","74","Welcome once again to the Temple of Sound 🪐 Enter an ancient world of healing sounds and powerful vibrations to alter your state of consciousness and Awaken 🌌 A sacred space for breathework, sound healing and medicine music. ","1152","1","","","","","","","","",""
"1153","Eastern Slope, grid square W19","W19","K9 - Constellations","Eastern Slope","20","normal-camp","546","80","K9 Constellation camp. Normal camp space. Contact Conny if you have questions. ","","","","","","","","","","",""
"1154","Eastern Slope, grid square V19","V19","Discaples of Alba - Constellations","Eastern Slope","18","normal-camp","643","40","We are a party wagon that will travel around borderland and throw vibes and lattes at people.","","","","","","","","","","",""
"1155",", grid square S24","S24","Build 2 Strike","","2","normal-camp","100","40","(Balancing on the small sand bank next to fence)

Work shift sleep caravan on the dry bed, potentially next to tree tentsile, operating in sleep mode from build to strike. One of two sound tech beds.","","","","","","","","","","",""
"1156","Eastern Slope, grid square W19","W19","Glitter Glitzies - Constellations","Eastern Slope","19","normal-camp","533","70","","","","","","","","","","","",""
"1157","Eastern Slope, grid square W19","W19","Smaller Constellations","Eastern Slope","8","normal-camp","187","40","","","","","","","","","","","",""
"1158","Eastern Slope, grid square V19","V19","AlMyRaf & Co - Constellations","Eastern Slope","16","normal-camp","455","0","","","","","","","","","","","",""
"1160","Eastern Slope, grid square V19","V19","Cozy Fireplace","Eastern Slope","0","public-offering","51","40","","","","","","","","","","","",""
"1161","Eastern Slope, grid square V19","V19","Sauna & SPA","Eastern Slope","0","public-offering","48","50","","","","","","","","","","","",""
"1166","Far Flung Field, grid square X07","X07","Shiny Knights","Far Flung Field","10","normal-camp","298","0","Shiny Knights camp sleep area and workshop space ","","","","","","","","","","",""
"1169","Arctic chill, grid square O05","O05","Fire buffer","Arctic chill","0","normal-camp","30","0","","","","","","","","","","","",""
"1170","Swamp, grid square T20","T20","Camp Winnipeg","Swamp","6","public-offering","275","50","A cozy camp with 5-6 lovely people, 2 campervans, tents, pizza and gentle vibes. Come by for a chat, a slice or just hang out for a while!","","","","","","","","","","",""
"1173","Swamp, grid square T16","T16","waff","Swamp","15","normal-camp","406","80","","","","","","","","","","","",""
"1174","Muumin Valley, grid square B14","B14","Norka","Muumin Valley","3","normal-camp","98","0","Sleeping lair for some of your humble servants.","","","","","","","","","","",""
"1175","Swamp, grid square T17","T17","Dancing Sloths","Swamp","11","sound-camp","350","50","A gathering of soft explorers, building a safe space to take off and land. Day time music when suitable.
Ground for spontaneous offerings, come gather with us!","","1","🎸 Party/Gathering","","Swamp, grid square T17","","","","","",""
"1178","Swamp, grid square Q18","Q18","Madame Duphousse & Monsieur Goussilieux  ","Swamp","5","public-offering","144","0","Enter the respected Goussilie/Duphousse salon-masters of dramatic card divination and unlicensed spiritual guidance. With an ancient and somewhat questionable deck of cards, they will uncover fate and expose terrible decisions. Expect prophecies, accusations, emotional damage, and occasional wisdom.","","1","🎲 Games/Play","","Swamp, grid square Q18","","","","","",""
"1179","Lowlands, grid square T14","T14","Pink Piano Bar 💕","Lowlands","0","public-offering","129","129","A Piano, and a Bar, both Pink ","","1","🍯 Food/Drinks","","Lowlands, grid square T14","","","","","",""
"1181","Arctic chill, grid square M05","M05","Secret Radio","Arctic chill","8","public-offering","142","0","secret radio crew
either secret radioing somewhere , or sleeping ","","1","","","Arctic chill, grid square M05","","","","","",""
"1182","Swamp, grid square U19","U19","zebras","Swamp","9","normal-camp","411","0","dutch burner community","","","","","","","","","","",""
"1183","Highlands, grid square M09","M09","Observatory - Shuteye ","Highlands","20","normal-camp","299","98","Sleepy weepy ","","","","","","","","","","",""
"1185","Alversjö caravan park, grid square L23","L23","The Alversjö permanent Camper/RV area","Alversjö caravan park","0","other","2651","1671","This area is out of placement. Some campers might be parked there permanently.
DON'T DELETE THIS you will be punished!","","","","","","","","","","",""
"1186","Downtown, grid square M21","M21","River and bushes; non-campable area","Downtown","0","other","808","808","You can't camp here","","","","","","","","","","",""
"1187","Downtown, grid square M20","M20","Wood storage and sawmill","Downtown","0","other","609","609","This is storage space, no tents here.
Sawmill could be used for something but it's danger of collapsing.","","","","","","","","","","",""
"1188","Downtown, grid square M20","M20","Permanent Toilets","Downtown","0","public-offering","47","47","","","","","","","","","","","",""
"1195","Lowlands, grid square S10","S10","Allan with friends ✨","Lowlands","2","normal-camp","409","100","A new star in the neighborhood. Allan is new at Borderland, but have some experienced burner friends with him. This free camp will aim for creating a chill vibe, tick off romantic sunsets (with outdoor lounge area) and enjoy this year’s Borderland. ","","","","","","","","","","",""
"1205",", grid square Q23","Q23","The Pod (part of MoBA) ","","1","other","18","0","Sleeping pod (hammock). If you know the area is not suitable for hammock camping, please reach out to me on Discord. ","","","","","","","","","","",""
"1206","Lowlands, grid square R14","R14","Camp Ember","Lowlands","2","normal-camp","70","0","One caravan and two happy people :)","","","","","","","","","","",""
"1208","Far Flung Field, grid square W10","W10","The Wifies and the boyz","Far Flung Field","7","normal-camp","211","3","freecampes","","","","","","","","","","",""
"1209","Arctic chill, grid square O07","O07","Roberts outcasts","Arctic chill","3","other","100","0","Art piece in combination with camping for the most amazing Berliners who are not wanted by Robert.

I'm unable to get in contact iwth the house of honies with that username listed :( but we should be able to all fit in there if we restructure a bit.","","","","","","","","","","",""
"1210","Arctic chill, grid square L04","L04","CALED Camp","Arctic chill","5","normal-camp","180","130","A little group of friends looking forward to make this space their home during BL. We will have a kitchen tent and have included the buffer for it in the polygon.","","","","","","","","","","",""
"1213","The Villa, grid square K14","K14","BorderLAN 2.002","The Villa","5","art","7","0","BorderLAN takes place in the earth cellar by the red villa/Dreamers Maze. It's a 4-person ""LAN"" with a host, offering food, snacks and drinks over a 45 minute audiovisual and immersive gaming session. Outside of the booking slots, the space is open to anyone for play.","","1","🎲 Games/Play","","The Villa, grid square K14","","","","","",""
"1217","Missing Piece, grid square N14","N14","third eye","Missing Piece","0","art","214","0","","","","","","","","","","","",""
"1219","Arctic chill, grid square O03","O03","2 tents","Arctic chill","2","normal-camp","20","0","Just two lovely person with two normal tents","","","","","","","","","","",""
"1220","Far Flung Field, grid square W07","W07","Elwood Triangle","Far Flung Field","2","normal-camp","56","0","Peace and tranquility ","","","","","","","","","","",""
"1223","Swamp, grid square Q18","Q18","Erwachsenergarten","Swamp","8","normal-camp","303","0","A small playful camps, 2.5 RVs","","","","","","","","","","",""
"1224","Highlands, grid square M09","M09","Protected Biotope","Highlands","0","other","741","746","Dont place yourself here","","","","","","","","","","",""
"1226","Arctic chill, grid square M05","M05","Lovelies","Arctic chill","6","normal-camp","90","40","5 experienced burners and 1 new burner. We’re excited to be back and to make this place our home again!","1226","","","","","","","","","",""
"1227","Wedge, grid square Q21","Q21","Camp Sinful","Wedge","2","normal-camp","64","0","A fun duo :)
Find us on DS as: -K-","","","","","","","","","","",""
"1230","Swamp, grid square V17","V17","Introversia","Swamp","7","normal-camp","218","10","A small camp of introverts (on, not antisocials, you can talk to us). 
Sometime we will entertain passerbys with drinks and shenannigans. ","","","","","","","","","","",""
"1232","Swamp, grid square U19","U19","Avigdors Nest ","Swamp","6","normal-camp","174","0","Avigdor is the penultimate dinosaur. Here he's clan resides. Come have a look-see and maybe you will be lucky enough to to get his dino-egg and continue the lineage   ","","","","","","","","","","",""
"1233",", grid square ","","DELETE","","0","other","0","0","","","","","","","","","","","",""
"1234","Arctic chill, grid square O05","O05","Fire safety distance","Arctic chill","0","other","194","0","","","","","","","","","","","",""
"1235","Arctic chill, grid square L06","L06","Mariah Carey","Arctic chill","10","normal-camp","340","150","Camp of 6-10 ppl and public space","","","","","","","","","","",""
"1236","Arctic chill, grid square O06","O06","Shimmering by the Forest Edge","Arctic chill","25","normal-camp","650","250","We are a camp with multiple dreams.
We will serve chai by the fire a few times during the week, 
and have a hammock area ""Forest is for rest"" further to the east.","1236","","","","","","","","","",""
"1237","Bison - North, grid square N19","N19","Very lost ","Bison - North","1","other","10","0","Sorry you are lost ","","","","","","","","","","",""
"1239","Swamp, grid square T17","T17","FF home base","Swamp","4","normal-camp","86","10","More info soon
","","","","","","","","","","",""
"1240","Arctic chill, grid square O06","O06","MoonCows ","Arctic chill","10","normal-camp","250","20","Friendly burners offering basque tortillas, love advice and smiles","","","","","","","","","","",""
"1241","Far Flung Field, grid square X11","X11","Durmiendo feliz!","Far Flung Field","1","normal-camp","12","0","Just a spot to sleep well sometimes","","","","","","","","","","",""
"1243","Far Flung Field, grid square V08","V08","Chill base ","Far Flung Field","2","normal-camp","20","0","One tent and a tarp","","","","","","","","","","",""
"1244","Highlands, grid square M10","M10","🌈 Rejvkommissionen","Highlands","6","normal-camp","168","10","Happy people camping with one large tent, several small ones, extra tent plus soundbike.","","","","","","","","","","",""
"1249",", grid square N03","N03","Side Quest by Weird n' Wack ","","2","normal-camp","48","0","One weirdo and and wacko.
All about that flow.","","","","","","","","","","",""
"1250","Arctic chill, grid square N06","N06","Side Quest by Weird n' Wack ","Arctic chill","2","normal-camp","25","0","All about that weird and wack shit","","","","","","","","","","",""
"1251","Eastern Slope, grid square W15","W15","Emmyboda","Eastern Slope","7","normal-camp","213","0","More info coming &lt;3","","","","","","","","","","",""
"1252",", grid square P18","P18","The Tribal Village","","3","normal-camp","102","9","Our description is following soon","","","","","","","","","","",""
"1253","Arctic chill, grid square N08","N08","PPLAND","Arctic chill","7","normal-camp","233","0","We are 8 immersive routine spacelings. Chilled and relaxed. Hanging out in peace with neighbours and bypassers. ","","","","","","","","","","",""
"1264","Bison - South, grid square M23","M23","Disco Dreams","Bison - South","10","normal-camp","332","90","Some What Silent Disco Cuddles Space Tipi","","","","","","","","","","",""
"1269","Arctic chill, grid square N07","N07","Frog plaza","Arctic chill","16","normal-camp","449","100","International frogs with a collective of dreams 🐸","","","","","","","","","","",""
"1271","Lowlands, grid square R13","R13","Sweet Spot Caravans","Lowlands","13","normal-camp","451","0","Camping for sweet spot caravans","","","","","","","","","","",""
"1272","Lowlands, grid square Q13","Q13","Sweet Spot Camping","Lowlands","20","normal-camp","360","160","Camping area for the sweet spot.","","","","","","","","","","",""
"1278","The Villa, grid square K14","K14","Dreamer’s Maze","The Villa","0","art","79","0","Immersive interactive art maze. Each room designed by different artists","1278","1","","","","","","","","",""
"1282","Eastern Slope, grid square V20","V20","K9 slopes","Eastern Slope","0","normal-camp","442","0","Can we put a couple of people here to free up the cramped space in k9 constellations. 5-10 degrees.","","","","","","","","","","",""
"1290","Highlands, grid square M11","M11","Quattro Accenti","Highlands","3","normal-camp","97","0","One caravan and 3 tents with four different languages in a chilling space where all are welcome.
In the proposed area, we are including a buffer to isolate the caravan and tents from potential infrastructure in surrounding camps. We are a small camp, happy to chat and collaborate about it.","","","","","","","","","","",""
"1292","Far Flung Field, grid square Z10","Z10","Sleepy","Far Flung Field","2","normal-camp","13","0","Just a place to sleep on sleepy days","","","","","","","","","","",""
"1388","Arctic chill, grid square P07","P07","Open for Suggestions (Twinklehoof Dynasty)","Arctic chill","8","normal-camp","256","140","Offering a large communal tipi resting space with wooden stove, mats & sheepskins +  6-8 people camping.","","1","","","Arctic chill, grid square P07","","","","","",""
"1449","Eastern Slope, grid square V17","V17","Space Girls and Cosmic Cowboys","Eastern Slope","10","normal-camp","328","20","A cozy intergalactic lounge camp where Space Girls, Cosmic Cowboys, and dusty wanderers can land, recharge, and reconnect. In the middle of everything happening out on the playa, our camp offers a warm and welcoming safe haven with a relaxed lounge atmosphere, heated floors, and a space to simply be","","1","","","Eastern Slope, grid square V17","","","","","",""
"1448","Lowlands, grid square S11","S11","KittyKatCamp","Lowlands","2","normal-camp","95","0","We will offer a cosy little veranda for anyone who wants to come and chill out amongst the madness 😊 And we'll make sure to keep the required 4m between our van and any other structures 👍","","1","","","Lowlands, grid square S11","","","","","",""
"1293","Bison - North, grid square O20","O20","Pimp Your Nails","Bison - North","4","public-offering","18","18","Everything you need to get your nails burn-ready is right here. Grab a polish, get creative, and do it yourself whenever you want!","","1","🎀 Crafting/Pimping/Arting","","Bison - North, grid square O20","","","","","",""
"1294","Bison - North, grid square N21","N21","Pimp Your Nails (camping)","Bison - North","4","normal-camp","124","0","Camping spot for the Pimp Your Nails team","","","","","","","","","","",""
"1296",", grid square S06","S06","Forest is for rest","","0","public-offering","650","0","Cozy hangout area in the forest, 
with hammocks. Great place to take a nap or hangout in a slower pace. Sound Journey JOMO on Tuesday 13.30.

Camp: Shimmering by the Forest Edge","1296","1","","","","","","","","",""
"1298","Far Flung Field, grid square Z08","Z08","ZuperZleeperZZZ","Far Flung Field","2","normal-camp","23","23","Sleeping faster than anyone else, aprox 2h/h","","","","","","","","","","",""
"1299","Downtown, grid square M21","M21","Ninetush","Downtown","5","normal-camp","233","0","","","","","","","","","","","",""
"1300","Arctic chill, grid square N05","N05","Coral collective","Arctic chill","15","normal-camp","60","60","","","","","","","","","","","",""
"1301","Swamp, grid square U19","U19","Fairies in the dust","Swamp","6","normal-camp","125","0","Group of lovely human beings with big hearts. Currently disorganised - will solidify and organise something lush soon. TBC :) 
(We have 2 RVs in total)","","","","","","","","","","",""
"1311","Far Flung Field, grid square Z08","Z08","slowsleepers","Far Flung Field","2","normal-camp","51","0","A very descriptionous description here.","","","","","","","","","","",""
"1312","Far Flung Field, grid square Z07","Z07","Fatima","Far Flung Field","1","normal-camp","75","10","Van","","","","","","","","","","",""
"1313",", grid square ","","delete","","0","normal-camp","1","0","An artproject that very much might blow your mind...","","","","","","","","","","",""
"1314","Forest Cave, grid square K23","K23","Massage the meat","Forest Cave","3","normal-camp","30","0","Sleeping beauties","","","","","","","","","","",""
"1316","Far Flung Field, grid square Z09","Z09","Zleepyhead","Far Flung Field","2","normal-camp","15","0","Will win any contest of insomnia!","","","","","","","","","","",""
"1317","Arctic chill, grid square L06","L06","Open for Suggestions (Twinklehoof Dynasty)","Arctic chill","2","normal-camp","117","0","Our main camp lead Maestro Glitterhoof Tinklestrike the Third aka Sparkleman (nickname Horny Corny) has spoken... There will be a beautiful communal ceremonial tipi space lovely instruments & a warm stove and occasionally some tea for curious travelers of the land + camp around it.","","","","","","","","","","",""
"1318","Eastern Slope, grid square U21","U21","The last resort","Eastern Slope","3","normal-camp","38","0","A hideaway to retreat to when sleep is paramount. 
","","","","","","","","","","",""
