"Title","Location","Category","Tags","Description"
"The Communal BBQ","Downtown, grid square K20. Between the Square and the Sheepbarn","Food/Drinks","","Last year the Square was built. And water was brought. This year next to it, the outdoor BBQ area is in place. Firewood, bbq, charcoal, tables, benches are all there. Bring your ingredients, put it over the fire (fire it up if you are the first one there). 
Free and available for anyone to use. Dare to invite the unknown..."
"The BunnyHorse Bar","Sunny Hills, grid square G19. Go to the far end of the sunny hils and look for the flaming Bunnyhorse on top of a highly modified horse trailer. We might spew fire in your honour!","Food/Drinks","🦍 Adults only · 🍑 Body-positive · 🖤 Sex positive","Your friendly, magical, quirky water hole in the hills. 
Enjoy the legendary One|Trick|Pony drink. 
All Glitter stallions, Phony Ponies and Massive Mules welcome. 
We're here 24/7: sun-baked afternoons, blissed-out nights, and those strange mornings where time doesn't matter."
"The Grateful Grogg","Sunny Hills, grid square I20. At the very top of the Sunny Hill","Food/Drinks","","The Grateful Grogg returns to bless Borderland with her sturdy presence! Offering tasty grogg, cold beer & rowdy parties. Need a jam space, someone to chat with, or just a wholesome place to rest? Open day, night & sunrise—though you might serve yourself & fellow Borderlings. Always welcome! 🍺"
"Fikastund at Socialen","Bison - South, grid square O22.","Food/Drinks","","Coffee on a self-service basis, every day from 10:00–22:00. Grab a cup, stay awhile, challenge someone to a board game, and see where the conversation leads."
"Halloumi-Nati","We will be moving around and not be located at our camp site . You will see out black tent moving around on the playa!","Food/Drinks","🦍 Adults only · 🍑 Body-positive · 💥 Sensory content","The Holy Cheese Temple: not food — a multi-sensory immersion into the essence of cheese. At night, the Black Temple appears east of the Lowlands. To enter: spirit cleansed with Holy Feta Water, then confess a sin to receive the Fermented Blood of the Vine. Drink, be absolved, and submerge into our Lacto Sensory Play Experience. In Caseus Veritas — in cheese we trust 🧀🙌🏻 You said: The legendary sanctuary for your senses returns, serving weird and wonderful teas in a weird and wonderful way!"
"Bob-Up Café","Swamp, grid square R18. You will find Bob being a white van with a big label and cartoon print of the Bob-up design next to Schorle Bar (Schorle Bar is all purple, turqoise and gold)","Food/Drinks","😇 Sober","My car Bob and I always dreamt of being a Bob-up Café and we will realize it at Borderland. Come by for a coffee, a cuddle, compliment or conversation. You'll get your decaf or caffeine fix with a dope conversationalist as a barista and a hang out space to unwind from the excitements of the playa."
"Le Bistro Français","Lowlands, grid square Q12. Just come to the main plaza in lowland, you can't miss us","Food/Drinks","","Le Bistro Français is a gift from a group of French friends to the Borderland community. We offer wine (with and without alcohol), peanuts and olives.

Then, once a day, something shifts. The guinguette fades and the best goes up. Welcome to l'Heure Heureuse — our happy hour — where the whole neighbourhood is invited to celebrate absolutely nothing in particular, but with bubbles..."
"Lé Baguettelle","Lowlands, grid square Q13. Lé Baguette Wagon, we will start at camp Slothenhive and then roam around. Come find us!","Food/Drinks","","What is it that you smelly - a hunger in your belly? In the morning when we wake, bread for you we bake! And in the darkness of the night, from the forest close at site; a wagon of baguette shows its silhouette."
"Marghe & her little lambs","Wedge, grid square Q21. in between alice the malice in wonderland, and club sin camp","Food/Drinks","🐒 Kid-friendly","We're a wee camp w a dream to boost the people of the playa w cozy himalayan dumplings (mo:mo) pop-up, and have caffè corretto mornings <3 
° live, laugh, love, mo:mo, & margherita °"
"The Automated Café","Highlands, grid square O11. Crossroads west of Bayt-al-Noor, Highlands. .. the sign reads coffee","Food/Drinks","🐒 Kid-friendly","Looking for coffee? Come find our always open self service café! Push a button to brew a cup. Add vegan milk and sugar. Sit down and enjoy. 
The space offers soft music, cosy light and a few games.The rest is up to you."
"Kimchii Treassure Hunt","The Vegan Waffle Wagon, which will be moving around. A wagon with red/white striped ceiling, steaming waffle irons, and a red flag.","Food/Drinks","","There are hidden jars of vegan kimchii here at Borderland, will you find one and save your camp from kimchii-deficiency? First step is finding The Vegan Waffle Wagon, if the red flag is up it means you can get a map or clue and continue your quest!"
"Welcome Home, Darling","Highlands, grid square O10. WHD is right between Penta Plaza and Bayt al-Noor","Food/Drinks","🍑 Body-positive · 🏳️‍🌈 Queer-inclusive","Welcome Home, Darling is the place where you can take a break from the playa. Our big tent is cool and shaded by day, calm by night for cozy conversation. Some evenings, our soup kitchen cooks up food for hungry Borderlings. WHD also have a water truck you can borrow."
"Chai Chill Chinchilla","Swamp, grid square T17.","Food/Drinks","🐒 Kid-friendly · 🐩 Pet-friendly","Follow the scent of fresh-baked vegan cookies and spiced chai to a softly glowing yurt in the trees. Sink into vintage rugs and cushions, play games, enjoy live readings, or drift to mellow tunes. Your cozy sanctuary—always vegan, always warm."
"Cozy Slutty Waffle Café- happening Monday 21st of July between 14:00-18:00","Lowlands, grid square Q11.","Food/Drinks","🍑 Body-positive · 🖤 Sex positive","A koselig waffle café blooms on the playa for one golden afternoon. Warm waffles, brunost, jam, a wake-up shot — Norwegian hygge with a wink. Bring a cup, an open heart, and your slutiest secret. 🧇✨"
"Salt Rock City","Wedge, grid square R21. Top right corner of The Wedge, bordering The Swamp and forest","Food/Drinks","","A bar for salt addicts. Here, we celebrate our addiction. You can try our salt tasting experience, have savory cocktails or a salty snack. Anybody said mango sticky rice? We'll replenish you with alcohol-free electrolyte cocktails, or, electrococktails. Salt Rock City is the best (and maybe only) place to boast about how many kinds of salt you have in your kitchen. Salt-normative folks are welcome too ;)"
"The Tahinians","Lowlands, grid square Q12. In the middle of the lowlands","Food/Drinks","🐒 Kid-friendly","The Tahinians welcome you to indulge in the wonderful godly amazing deliciousness of Tahini at our beautiful Tahini temple. Tahini fika will be there always for you to enjoy in a nice relaxing atmosphere and if you are willing please join our religion and be blessed!"
"SIN Bar","Bison - North, grid square N19. By the Shameless Plaza","Food/Drinks","🦍 Adults only · 🍑 Body-positive · 💥 Sensory content","Commit wicked sins or accept deserved punishments from our curated menus at SIN Bar, Club SIN's handcrafted wooden haven beside the dancefloor. Earn sincoins, ask nicely, and our SINtenders may reward you with cocktails, non-alcoholic delights, special snacks, and redeeming treats. Sinful tonight?"
"Low Effort Leftovers","Highlands, grid square O12","Food/Drinks","","Come effortlessly in and join us in our lounge. This is a place to just be - while still looking at the vibrant life at BL. Also there is waffles!!"
"Eld&Rötter Mystic Hammock Haven","Highlands, grid square O12","Food/Drinks","","Come and hang, literally, in our wodden hammock dome. 
This year we will add some fire, both literally and figuratively. 
Grilled cheese sandwiches, for even more chill."
"Lazy camp - public offering","Bison - North, grid square P22","Food/Drinks","","- Chill area to hang
- Low-key bar
- Sandwiches, snacks and treats at different time of day or night."
"Slothenhive food tent","Lowlands, grid square Q13","Food/Drinks","","Food offering: 
jizz me up
Toast for a toast"
"Macho kitchen","Highlands, grid square M12","Food/Drinks","","Art pieces and sausage parties."
"Lucid State","Lowlands, grid square U14","Food/Drinks","","Hi! ""The popcorner"" dreamers here :) We have a popcorn wagon that will spontaneously server popcorn. Apart from that our camp has a lot of musicians so expect live music every now and then :)"
"Cinema Pizzaiso","Eastern Slope, grid square W16","Food/Drinks","","20 jolly friends baking pizza for their cinema guests."
"Mellows on Tour","Eastern Slope, grid square V15","Food/Drinks","","We offer a cozy chill place and some good drinks for any mood."
"Livmor","Arctic chill, grid square O06","Food/Drinks","","A welcoming and warm sanctuary centered around a cozy tipi with a wood stove, sheepskins, and hot herbal teas. A perfect spot to escape the cold, relax, and chill out.We live and sleep here,also:)"
"Yachtees Magic Offerings","Eastern Slope, grid square V16","Food/Drinks","","Yachtees bring food and magic from far countries. Pop up offerings and events will enrich the neighbourhood with unexpected sweets and treats."
"A Camp has no Name (Trust in your destiny)","Arctic chill, grid square O06","Food/Drinks","","We will hold some workshops e.g. painting with ultrablack paint, waffles, maybe circling and other nice things."
"The Serving Cunts","Lowlands, grid square R11","Food/Drinks","","Soup kitchen were you can come and enjoy our delicious food, we will also have a dining hall were you can sit down and eat in peace."
"Camp Roulette","Arctic chill, grid square L04","Food/Drinks","","What can 2 happy campers offer?
A) End of Coffee Bar (matcha, turmeric, cacao, tea)
B) Vegan liquorice (sweet and salty)
C) Idea Graveyard 
D) Colourful sunglasses shop"
"ASS2ROID crash zone","Sunny Hills, grid square I22","Food/Drinks","","We're a mining operation on the asteroid known as Korova Rock with a mobile roid bar serving supplements, electrolytes, and also Milk+. Imagine The Fifth Element if Luc Besson had made slightly worse decisions, which would have made it considerably better."
"Waffles","Arctic chill, grid square L05","Food/Drinks","","There will be waffles"
"Pink Piano Bar 💕","Lowlands, grid square T14","Food/Drinks","","A Piano, and a Bar, both Pink"
"KV Cantina","Lowlands, grid square P09","Food/Drinks","","Kidsville Cantina... Think pancakes, waffles, grilled cheese..."
"The Carrot Camp","Bison - South, grid square M23","Food/Drinks","","A friendly gang of carrot lovers - come say hello and eat a carrot!

This is both our camp and where we will be offering free carrots and possibly other vegetables for the hungry Borderlanders needing a healthy and tasty snack!"
"Waffles offering","Eastern Slope, grid square V18","Food/Drinks","","Popup style waffle/muurikka pancake stand, likely on Tuesday, Wednesday and Thursday evenings."
"LuckyPotLicky","Forest Cave, grid square K23","Food/Drinks","","A BYO potluck space for food, treats, ideas and experiences. This is an experimental space where anyone from any corner of the world can bring anything they like to share with likeminded rainbow warriors. If you pass by hungry, you will not leave so. Licking your plate is OK!"
"Heart Element","Wedge, grid square Q20","Food/Drinks","","Protein banana pancakes, open hearted conversations and shamanic face paintings.

We create a cozy space with a colorful van with fake candles and fairylights (LNT though)."
"PickLe FaiRy tReaT","Eastern Slope, grid square V18","Food/Drinks","","Somewhere between camps, when the music dips and time feels softer… she appears. A small glowing setup — jars, sauces, something sweet, something hot. If you catch her eye: ""Have you been blessed yet?"" One pickle, chosen for you, dressed in honey, heat and a touch of shimmer. Some say it's a snack. Others say it's a moment. Find her if you can — she doesn't stay long."
"PsyChai HQ","Eastern Slope, grid square V17","Food/Drinks","","✨🫖🌈 Do you need psytrance with your chai? Do you need some chai with your psytrance? This is where we will be making our mobile PsyChai offering. 

🦝We fully have our racoon energy ready to help with any other shenanigans, capers and japes that need assistance!

🚐🐝Two in a friendly yellow van."
"Good Vibes","Sunny Hills, grid square I23.","Games/Play","🦍 Adults only · 🍑 Body-positive · 🖤 Sex positive","Come and play games with us, freaky lovers or Tipsy temptations"
"BUCK: The Blackwater Unconscious Community Kasino @ Blackwater Operations","Swamp, grid square Q18. Look for the glorious American flag flying above The Green Zone. That's Blackwater Operations. BUCK Casino is right there — follow the sound of chips and poor choices.","Games/Play","","A smoky tent, cowboy hats, and the smell of bad decisions. BUCK Casino runs blackjack, poker and poker dice when the night calls for it. Come by late — you may lose your chips, your watch, and whatever dignity you had left. The house always wins. But you won't be able to stop."
"Atlantis - the lost deep sea city","It will move around so kepp your eyes open ;)","Games/Play","","The lost city of Atlantis has risen close to the playa — now ruled by jellyfish, deep-sea creatures and mermaids. They've found a treasure chest they cannot open: three beings must manifest the old ideals of compassion, truth and humility to earn it. While you wait, visit The Cart at the gate for seaweed chips, blue schnapps, salty fish and green algae."
"Mission? Impossible!","Highlands, grid square M12. South point of the Penta Plaza @Highlands","Games/Play","","Life is not always as successful as we want it to be, right?
Come celebrate those moments we all call ""Failure"", which are actually great opportunities for adventures and growth. 
See what happens when success is literally not an option 👻

Facilitated time wasting, guided failures and 24/8 Self-served experiences available"
"End of the Rainbow - The Pony Party","Bison - North, grid square N20. You can enter into our garden from the downtown garden area when you cross over the wooden bridge from the wood storage or you can enter from the Shameless Plaza below Club Sin.","Games/Play","🦍 Adults only · 🍑 Body-positive · 🖤 Sex positive · 🏳️‍🌈 Queer-inclusive · 💥 Sensory content","At the End of the Rainbow, where mystical creatures roam and magic fills the air, we host unforgettable parties where only your imagination sets the limits. Come play, express yourself freely, embody your sensuality, and explore your desires without judgment."
"Spikebattle of borderland 2026","Sunny Hills, grid square H20.","Games/Play","🐒 Kid-friendly · 🦍 Adults only","Spike battle of Borderland 2026 (SBB26) is here for it's first edition! Bring your best energy and get ready for a great competition! Either come by yourself and make a team on the spot or come as a team. 
- Playing 2 vs 2 
- Clothes on private parts are mandatory 
- Limited spots avaliable
- Age limit 15 and above (younger can watch)
It's a spikeball tournament. Playing in groups. Then those best handling the ball will play semi finals and then finals!"
"The Figging Stand: The Final Fig @ Blackwater Operations","Swamp, grid square Q18. Look for the glorious American flag flying above The Green Zone. That's Blackwater Operations. Find the wheeled wagon with the neon sign and you've found us.","Games/Play","","Raw peeled ginger, hand-carved with competence, inserted with intention. The sweet burn of enlightenment awaits. Pops up when the time is right. BEWARE OF COPYCATS AND QUACKS!"
"Leadership Appreciation Lounge @ Blackwater Operations","Swamp, grid square Q18. Look for the glorious American flag flying above The Green Zone. That's Blackwater Operations. The Leadership Appreciation Lounge is right inside. Follow the sound of well-deserved rest.","Games/Play","","Come celebrate the souls who make The Borderland possible. A beautifully decorated lounge for rest, luxury and recharging for leads, founders, board members and anyone else with power and panache! A gift to the community, because without them the dream stops. Definitely not a honeypot."
"Jousting Jesters 🃏","Swamp, grid square Q19. South of Water Plaza","Games/Play","","Welcome to the Jousting Jesters! Step into our medieval realm of knights, jesters, and merriment. Dance to medieval-inspired beats, test your skill in playful games, enjoy soul-shaking talks, and gather for our grand tournament, where honour, laughter, and glorious revelry await all who enter!"
"Borrow and Become","Swamp, grid square T15.","Games/Play","🦍 Adults only · 🍑 Body-positive · 🏳️‍🌈 Queer-inclusive","Ordinary is overrated. Become the Dazzling Diva or one-of-a-kind Unique Unicorn of your dreams! Step into Borrow & Become — a living, pulsating wardrobe where you can borrow your outfit for the evening, reinvent yourself, or bring one piece and leave with another. Soft guidance, intuitive styling and a welcoming atmosphere. Come curious. Leave Legendary. Tuesday 17–19 & Friday 16–18. Welcome to the Peacock magic!"
"Fluffy den @ Slothenhive","Lowlands, grid square Q13.","Games/Play","🐩 Pet-friendly","Play area for our furry friends. Come and let your doggy roam free and play in a fenced in area with shade, toys and a little pool. 

Space is accessible every day 8am - 8pm"
"The Rest  Revelry first ever ""Latex Strut Your Stuff Party Walk & Tumble""!","Eastern Slope, grid square W15.","Games/Play","🦍 Adults only · 🖤 Sex positive","Do you have a certain dark, physical desire? Does it spell LATEX? Heck yes - we've got an event for you! Dress up or down in your finest black, and join us at Rest & Revelry for a swaggering tour around the playa. Let's strut our stuff, let's show others how to be spankalicious and sparkling in black. What, where, and how it ends? Come find out...."
"The 40-ish Thieves","Highlands, grid square N13. Our camp is located in Agrabah Village. Once there, look for the Bedouin tent.","Games/Play","🐒 Kid-friendly","Step into a world of treasure hunters, magical beings, cursed bandits, lost riches, hidden secrets, and unforgettable adventures.

Uncover clues, hear mysterious tales, and perhaps even find the Magical Compass. Only those with sharp minds, curious hearts, and a touch of daring will reveal the secrets hidden from ordinary travelers.

Will you heed the call?"
"Camp Consciousness Playground: hosting Borderland Special Olympics (BSO)","Swamp, grid square T19. We will have a 20 meter banner alongside our camp saying BORDERLAND SPECIAL OLYPICS","Games/Play","🦍 Adults only · 🍑 Body-positive · 🖤 Sex positive · 💥 Sensory content","Borderland Special Olympics — a competition based on burn principles! We've added special secret sauce to games you already know: the old world in a new form your soul will recognize, where everyone competing is a winner! Keep an eye on the scoreboard throughout the week — the winning person or team earns a facilitated journey Saturday at 5pm, in the building constructed especially for this purpose!"
"Club SIN","Bison - North, grid square N19. By shameless plaza, next to 6m tall Sinnergirl.","Games/Play","🦍 Adults only · 🍑 Body-positive · 🖤 Sex positive · 💥 Sensory content","Born at Borderland, Club SIN fuses the hedonistic spirit of a nightclub with the co-creative energy of the Burner community. Expect casino games with a twist, a dance floor pulsing with sweaty disco and house beats, juicy workshops, and a bar serving deliciously wicked treats. But nothing is free at Club SIN: to play blackjack, poker or roulette, or order from our Menu of Treats, you'll need SINcoins — earned by committing playful sins or accepting delightful punishments."
"CaSINo","Bison - North, grid square N19. By the Shameless Plaza","Games/Play","🦍 Adults only · 🍑 Body-positive · 💥 Sensory content","CaSINo is Club SIN’s twisted casino, where sincoins, shame, dignity, luck, and temptation are all on the table. Play sinful casino games; blackjack, poker, and roulette, win juicy treats, accept delicious punishments, and gamble your comfort zone away. Come place your bet, commit your sins, and lose yourself with us tonight at caSINo..."
"Holy Shit!","Highlands, grid square N10","Games/Play","","A sacred rest stop for the curious, the contemplative, and the urgently inspired.
Help yourself to something from the jars. Flip a card. Make a confession. Get questions answered about the backdoor play.
No queue. Just you, questionable snacks, and the quiet wisdom that has always lived deep inside."
"Water slides","Sunny Hills, grid square H19","Games/Play","","We will have a day of racing and betting on the water slides! They will probably stay there for a couple more days as well. People have to rinse off in the shower before bathing"
"Brandenburners","Arctic chill, grid square N05","Games/Play","","Small intentional community of hippies that used to
chase the dream of having a fulfilling life in The Borderland. However, rising rents and gentrification pushed us to rethink our priorities and move to the countryside uhm Artic zone.

Planned public offerings:
- Popcorn station
- Noseflute gifting"
"Teentown","Arctic chill, grid square L05","Games/Play","","Teentown is the meeting place for burner teens."
"Camp Pussy Juice","Swamp, grid square T19","Games/Play","","A playful, juicy oasis of sparkle and chaotic kitten energy at Borderland."
"The Ghost train","grid square V14","Games/Play","","It's Pac-Man/Spank-Man
chased by two Ghosts.
This will a complete stage with beautiful lights and super tunes to Dance all night long!"
"Jelly Stable","Sunny Hills, grid square G19","Games/Play","","A noble makers spot for mega creatures and lost creators. Mega Mårran is brought to life from fabric, helium and a touch of Newton. True chemistry, pure physics, real magic. At dawn, sun-phobic Jelly finds shelter in the Jelly stable. Stick for corny pop, salt sprinkles, watermelon and mellow minds."
"Madame Duphousse & Monsieur Goussilieux","Swamp, grid square Q18","Games/Play","","Enter the respected Goussilie/Duphousse salon-masters of dramatic card divination and unlicensed spiritual guidance. With an ancient and somewhat questionable deck of cards, they will uncover fate and expose terrible decisions. Expect prophecies, accusations, emotional damage, and occasional wisdom."
"BorderLAN 2.002","The Villa, grid square K14","Games/Play","","BorderLAN takes place in the earth cellar by the red villa/Dreamers Maze. It's a 4-person ""LAN"" with a host, offering food, snacks and drinks over a 45 minute audiovisual and immersive gaming session. Outside of the booking slots, the space is open to anyone for play."
"The Observatory - The Drop - Chill out space","Swamp, grid square Q19","Games/Play","","Temple forest consciousness lab for all sorts of fun experiments of body and mind.
AND
Inclusive chill space (we accept all orientations:
standing, sitting, laying, etc)"
"SS-OP","Eastern Slope, grid square V20","Games/Play","","Welcome to the Safari Sightseeing Observation Post!
Come and join the high ground, sit down and have a cigar. Lets observe the common people on the lowlands through our binoculars and have a colonial conversation."
"Transformation office","Wedge, grid square R22","Games/Play","","Transformation office aids you with your transformation, big or small."
"Glittering gold & Trinkets","Highlands, grid square O10","Games/Play","","Lost in the dust and blinded by the noon sun? Follow the shimmer to Glittering Gold & Trinkets. We are a sensory oasis of shiny things, clinking treasures, and open hearts. Step inside our gilded canopy to trade a story for a charm, lounge on plush carpets, or find that perfect piece of playa flair"
"Camp Nothing Suspicious Here","Highlands, grid square L13","Games/Play","","We will be offering a number of things, a spy bar, a bubble trouble experience, some shape shifting shows and so on. This will also be a coy hang out space."
"Quantom Chaos","Wedge, grid square O19","Games/Play","","Protein banana pancakes, shamanic face paintings and black holes mindfucks. We create a cozy space with colorful vans, (fake) candles and fairylights."
"Electrical (dizzz)agreement","Forest Cave, grid square L22. A pimped up table in front of the cheeky badgers tavern","Weird shit/Other","💥 Sensory content","Take a seat at our buzzing table! Read the cards, find a topic, and let the (literal) sparks fly. The rules are simple: Both of you will attach a small electrode to your body before the discussion begins. If your friend talks bullshit, send them a shocking present, and see how much you really have in common."
"End of the Block Boutique","Swamp, grid square U16. Walk to where the Swamp, The Missing Piece and the Lowlands meet.","Weird shit/Other","🐒 Kid-friendly","Looking for the perfect accessory to take your Borderling Ensemble to the next level? Head to the End of the Block Boutique — open Monday–Saturday, 10–12. An assortment of curated jewelry and accessories, possibly one made just for you. Plus Tania's world-famous penis cardigans (now in various sizes…). Self-serve, 1 item per person per day to spread the love. New baubles daily until we run out!"
"Boothy call","Lowlands, grid square Q10. The phoniest booths at the playa","Weird shit/Other","😇 Sober · 🐒 Kid-friendly · 🐩 Pet-friendly","We're bringing back the analog thrill of the phone call! Hidden on the Playa are two phone booths decked like your wildest 90s fever dream. The only rule: pick up when it rings. High-stakes social roulette — a spontaneous blind date, a grilling from a Smålandstidningen ""reporter"", or a debate about why horses aren't real. No DMs, no ghosting. Your boothy call is waiting!"
"B.L.U.E Bureau of Logical Universal Enquiries","Highlands, grid square N09. We have a dome with a white tarp, it is close to the ""street"" and blue signs all around.","Weird shit/Other","","Unlicensed detectives solving any case badly. Join our questionable academy for absurd workshops, blue chai, snacks and the art of professional confusion.
Collect your detective ID card at our camp, earn detective ranks and look incredibly professional until you accidentally solve a case."
"The Wing Women Services","We'll be all over the place!. We will be wearing green, brown and purple outfits. And wings of course!","Weird shit/Other","","Need a partner for a workshop or someone to go on a date with? The Wing Women are here to make that awkward first move for you! We’ll help you find your festival crush or deliver your yearning message across the plains. Sometimes the most radical thing to do is outsource the flirting to the pros!"
"🍑 Laser Buttplug Games - Borderland Cup 🍑","Downtown, grid square M19. Plutonia","Weird shit/Other","🦍 Adults only · 🍑 Body-positive · 🖤 Sex positive · 🏳️‍🌈 Queer-inclusive · 💥 Sensory content","Simple rules. Complex strategy. Infinite chaos. And one very personal piece of equipment. Welcome to the sport you never knew you needed. - open for visitors all the time"
"The Lost Cocks Resort","Bison - North, grid square O19. We are a bit lost, trying to find out where we are.","Weird shit/Other","","Feeling lost? Excellent!

That means you're exactly where you need to be.

Stop by the Lost Reception for directions, answers, or a little moral support. Our receptionist is also on a thrilling quest to figure out where everything is. She'll do her best to help you - but there's a chance you'll end up even more lost!"
"Silly Sanctuary","Swamp, grid square S20.","Weird shit/Other","💥 Sensory content","We aim to be a kinder garden for ""grown ups"" but since our space is created by the same people who need a kinder garden, who knows what will emerge. Swing by and be silly with us and join our workshops!"
"Special shower","Sunny Hills, grid square H19","Weird shit/Other","🦍 Adults only · 💥 Sensory content","For one hour only! Special shower will be offering the most unique of experiences. We will gather and store the graywater from the Hot sauna and you get to use it as shower water. Never before has it been possible to take a shower with the ass sweat of thousands of hippies. First come first served!"
"Emergent Lobsters","Highlands, grid square N09","Weird shit/Other","","You know that thing lobsters do when they need to grow? They crawl into a little cave, rip off their entire shell, and sit there naked and vulnerable until a new one forms. Then they emerge bigger, stronger, and probably a little embarrassed. Come grow in our weird workshop cave."
"CampGlamps ArtCarGarage","Bison - South, grid square N22","Weird shit/Other","","Formerly aNGRY oLD mEN art car garage - Redneck mechanic campsite"
"Absolute Nonsense","Downtown, grid square M20","Weird shit/Other","","Luxury Spa Experience - Absolut Nonsense is an immersive art piece disguised as a luxury spa. We are creating a sensory illusion: a 100% dry “hot tub” where participants can enjoy the psychological benefits of a good soak, social bonding, and relaxation without a single drop of water."
"Blue Swallow","Swamp, grid square T18","Weird shit/Other","","Swallow Express Taxi service"
"Björd Brainwork Bureau","Lowlands, grid square Q10","Weird shit/Other","","Björd Brainwork Bureau is a small blue camouflaged office at the edge of certainty that accepts all cases, especially those that cannot be explained. Something is being prepared or perhaps quietly misplaced. No one knows. You are welcome, particularly if you have no appointment."
"Gossip Gazette Headquarter","Downtown, grid square K19","Weird shit/Other","","An office where we write, edit and print our nnewspaper"
"Department of Muddy Vehicles","Power Hill, grid square K20","Weird shit/Other","","DMV Garage. This is where Muddy Vehicles gets inspected and fixed"
"Baldurs rotating seesaw","Lowlands, grid square P13","Weird shit/Other","","BIG rotating seesaw"
"End of the Block Lounge","Swamp, grid square U16. We are at where The Swamp, The Missing Piece and The Lowlands meet!","Music/Show","","Whether you are wandering in from the dust or actively seeking out one of our activities, the End of the Block Lounge offers a range of events over the week to amuse, distract and occupy a bit of your time at your Burn. Our events will be listed individually"
"Discotech Engineering","Sunny Hills, grid square H20. Between the big boobs on Sunny Hills :)","Music/Show","💥 Sensory content","A daytime, lakeside, golden hour sound camp where we engineer atmosphere in real time and cater for some refreshing electrolyte drinks. Carefully tuned for a warm, physical, high-fidelity dancefloor. Music matched to the moment, as the Swedish summer sunset slowly approaches over the beautiful waters."
"The Church","Downtown, grid square K21. The wooden structure with the Church windows near the Clow Police Station.","Music/Show","🦍 Adults only · 🍑 Body-positive · 🖤 Sex positive · 🏳️‍🌈 Queer-inclusive · 💥 Sensory content","Old wooden structure with amazing light art and other art. Only enter when the doors are open. Closed doors means a workshop is in progress or we are offering bodies. Thursday and Friday afternoon are the safest times to admire art and architecture. At night it transforms into a decadent nightclub for sinners!"
"Moonwalkers","Highlands, grid square L09.","Music/Show","🦍 Adults only","Coffee is brewing. Live Radio Show happening. Storytelling open mic, between two ferns intervjues."
"Foxhole","Lowlands, grid square Q11.","Music/Show","🦍 Adults only · 🍑 Body-positive · 🖤 Sex positive · 💥 Sensory content","A staple of Borderland, The Foxhole creates a sex positive sound camp where people can push their boundaries and safely explore their desires. The establishment is inspired by sultry French cabaret vibes and curated as a home. We create this experience, but most importantly, we embrace this experience together.

Join us, and let’s embrace the journey together."
"Lazzarones","Swamp, grid square S20. A black tower of trampolines","Music/Show","🏳️‍🌈 Queer-inclusive · 🐩 Pet-friendly · 💥 Sensory content","Enter the world of fotons where Smoke and mirrors may trick your mind! Powerful vibrations of poetry and music will fill this space, come slow, life is no race!"
"Jam Camp","Lowlands, grid square R13. Behind Spaceport along the grass line","Music/Show","🐒 Kid-friendly · 💥 Sensory content","WE LOVE TO JAM - AND YOU ARE WELCOME ! Come join us ! Play with us, dance, listen, relax! <3 Please Stop by for a workshop/spontanious jams etc.! ""Organized"" OPEN jams from 20-22 quiet jam from 22-24."
"The Bear's Den","Sunny Hills, grid square H19. Turn between The Grateful Grogg and Discotech Engineering, then head for the tent by the edge of the forest.","Music/Show","","Deep bass on a hand-crafted sound system. Jungle, drum & bass, dubstep, UK bass, garage and dub.

Join us Monday, Wednesday, Friday and Saturday nights 22.00–05.00, plus daytime sessions: Dub & Drinks, Bass Yoga and Bass Meditation."
"The Herd","Highlands, grid square O10.","Music/Show","","Afternoon Beats & Mango Sour Beer."
"Spaceport","Lowlands, grid square P12. By our pink Temple of We Are Not A Cult","Music/Show","🐵 Kid-friendly · 🌈 Queer-inclusive · 💥 Sensory content","Community Space at Borderland, Workshops, Performance, Theatre. Designed by Borderlings, since 2014. 
Come and hang by the fire. Legendary Thursday Cabaret Nite"
"GlitterTind","Bison - North, grid square O20. Shameless plaza next to sinnergirl","Party/Gathering","🦍 Adults only · 🖤 Sex positive · 💥 Sensory content · 🚨 Triggering themes · 🌈 Queer-inclusive","Deep within Glittertind, the Mountain King welcomes trolls, witches, ravers and all wandering creatures. Dovregubbens Hall: trolls stomp, goblins twerk, basslines ring — later, workshops and rituals. Trolltunga: a velvet yurt where philosophy and pleasure share the same breath. Bifröst: sound baths, ritual nonsense, mossy rugs. Leave stranger than you found it."
"House of SIN","Bison - North, grid square N19. By the Shameless Plaza","Party/Gathering","🦍 Adults only · 🍑 Body-positive · 🖤 Sex positive","House of SIN is Club SIN’s 12x6m playground for sensual, kinky, sexual, silly, and sinful exploration. By day: workshops, rituals, games, slothing, and temptations. By night: sex+ afterparties. Step in, consent, and sin with us day and night..."
"T H E  M O O N - HYPERSTITION","Muumin Valley, grid square G09","Party/Gathering","","HYPERSTITION is going to the MOON and we are not coming back.
2026 is the final year for HYPERSTITION at Borderland. We are stepping up to take on the Valley (the legendary Muumima spot), more than doubling our size, light and sound.
The Moon Dome is part of the Hyperstition dream universe, which also include the Black Box and Chrome Room."
"Pink Parachute & Velvet Lounge + PP Kitchen","Lowlands, grid square P13","Party/Gathering","","Queer-focused and inclusive events
Pink Parachute: Day Parties, workshops, weird happenings.
Velvet Lounge: a cozy place for uncanny relaxation"
"Cosmic Cloud offering and camp","Bison - North, grid square O22","Party/Gathering","","Tuesday- Saturday: Cosmic cloud Café
Tuesday: Cosmic Fungal Frequencies sound journey
Thursday: Cosmic Day Party"
